"Step","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAS_sgd_lr0.005_grad-enable - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"186","0.702","0.702","0.702","0.8355","0.8355","0.8355","0.2435","0.2435","0.2435"
"187","0.7085","0.7085","0.7085","0.8385","0.8385","0.8385","0.247","0.247","0.247"
"188","0.698","0.698","0.698","0.8455","0.8455","0.8455","0.2575","0.2575","0.2575"
"189","0.7095","0.7095","0.7095","0.8595","0.8595","0.8595","0.2595","0.2595","0.2595"
"190","0.7275","0.7275","0.7275","0.8675","0.8675","0.8675","0.2575","0.2575","0.2575"
"191","0.742","0.742","0.742","0.846","0.846","0.846","0.256","0.256","0.256"
"192","0.757","0.757","0.757","0.8315","0.8315","0.8315","0.263","0.263","0.263"
"193","0.7105","0.7105","0.7105","0.871","0.871","0.871","0.2645","0.2645","0.2645"
"194","0.746","0.746","0.746","0.85","0.85","0.85","0.2645","0.2645","0.2645"
"195","0.74","0.74","0.74","0.8605","0.8605","0.8605","0.2595","0.2595","0.2595"
"196","0.734","0.734","0.734","0.865","0.865","0.865","0.2635","0.2635","0.2635"
"197","0.7295","0.7295","0.7295","0.857","0.857","0.857","0.264","0.264","0.264"
"198","0.7245","0.7245","0.7245","0.867","0.867","0.867","0.2675","0.2675","0.2675"
"199","0.7265","0.7265","0.7265","0.876","0.876","0.876","0.265","0.265","0.265"
"200","0","0","0","0","0","0","0.0365","0.0365","0.0365"
"201","0.5725","0.5725","0.5725","0.6445","0.6445","0.6445","0.129","0.129","0.129"
"202","0.624","0.624","0.624","0.712","0.712","0.712","0.166","0.166","0.166"
"203","0.6575","0.6575","0.6575","0.699","0.699","0.699","0.201","0.201","0.201"
"204","0.63","0.63","0.63","0.708","0.708","0.708","0.2085","0.2085","0.2085"
"205","0.601","0.601","0.601","0.759","0.759","0.759","0.2215","0.2215","0.2215"
"206","0.6755","0.6755","0.6755","0.7335","0.7335","0.7335","0.217","0.217","0.217"
"207","0.6585","0.6585","0.6585","0.751","0.751","0.751","0.228","0.228","0.228"
"208","0.643","0.643","0.643","0.772","0.772","0.772","0.2365","0.2365","0.2365"
"209","0.6845","0.6845","0.6845","0.742","0.742","0.742","0.233","0.233","0.233"
"210","0.6905","0.6905","0.6905","0.7635","0.7635","0.7635","0.25","0.25","0.25"
"211","0.6615","0.6615","0.6615","0.77","0.77","0.77","0.243","0.243","0.243"
"212","0.6685","0.6685","0.6685","0.796","0.796","0.796","0.2385","0.2385","0.2385"
"213","0.6815","0.6815","0.6815","0.765","0.765","0.765","0.2475","0.2475","0.2475"
"214","0.6725","0.6725","0.6725","0.815","0.815","0.815","0.25","0.25","0.25"
"215","0.6795","0.6795","0.6795","0.7325","0.7325","0.7325","0.251","0.251","0.251"
"216","0.6885","0.6885","0.6885","0.7835","0.7835","0.7835","0.2585","0.2585","0.2585"
"217","0.735","0.735","0.735","0.7645","0.7645","0.7645","0.26","0.26","0.26"
"218","0.7225","0.7225","0.7225","0.7855","0.7855","0.7855","0.257","0.257","0.257"
"219","0.688","0.688","0.688","0.7545","0.7545","0.7545","0.242","0.242","0.242"
"220","0.719","0.719","0.719","0.7695","0.7695","0.7695","0.256","0.256","0.256"
"221","0.6715","0.6715","0.6715","0.771","0.771","0.771","0.2535","0.2535","0.2535"
"222","0.6865","0.6865","0.6865","0.7705","0.7705","0.7705","0.263","0.263","0.263"
"223","0.729","0.729","0.729","0.8085","0.8085","0.8085","0.2625","0.2625","0.2625"
"224","0.734","0.734","0.734","0.803","0.803","0.803","0.263","0.263","0.263"
"225","0","0","0","0","0","0","0.0035","0.0035","0.0035"
"226","0.605","0.605","0.605","0.645","0.645","0.645","0.1195","0.1195","0.1195"
"227","0.668","0.668","0.668","0.729","0.729","0.729","0.1895","0.1895","0.1895"
"228","0.6995","0.6995","0.6995","0.7185","0.7185","0.7185","0.213","0.213","0.213"
"229","0.6935","0.6935","0.6935","0.714","0.714","0.714","0.2265","0.2265","0.2265"
"230","0.729","0.729","0.729","0.7515","0.7515","0.7515","0.2395","0.2395","0.2395"
"231","0.726","0.726","0.726","0.754","0.754","0.754","0.2515","0.2515","0.2515"
"232","0.759","0.759","0.759","0.776","0.776","0.776","0.2485","0.2485","0.2485"
"233","0.7445","0.7445","0.7445","0.771","0.771","0.771","0.256","0.256","0.256"
"234","0.7655","0.7655","0.7655","0.734","0.734","0.734","0.2595","0.2595","0.2595"
"235","0.76","0.76","0.76","0.729","0.729","0.729","0.2545","0.2545","0.2545"
"236","0.734","0.734","0.734","0.7615","0.7615","0.7615","0.265","0.265","0.265"
"237","0.7645","0.7645","0.7645","0.785","0.785","0.785","0.266","0.266","0.266"
"238","0.792","0.792","0.792","0.8125","0.8125","0.8125","0.267","0.267","0.267"
"239","0.784","0.784","0.784","0.796","0.796","0.796","0.267","0.267","0.267"
"240","0.745","0.745","0.745","0.7765","0.7765","0.7765","0.269","0.269","0.269"
"241","0.762","0.762","0.762","0.732","0.732","0.732","0.2705","0.2705","0.2705"
"242","0.777","0.777","0.777","0.8155","0.8155","0.8155","0.2725","0.2725","0.2725"
"243","0.771","0.771","0.771","0.7205","0.7205","0.7205","0.277","0.277","0.277"
"244","0.753","0.753","0.753","0.738","0.738","0.738","0.274","0.274","0.274"
"245","0.7845","0.7845","0.7845","0.8085","0.8085","0.8085","0.268","0.268","0.268"
"246","0.778","0.778","0.778","0.761","0.761","0.761","0.274","0.274","0.274"
"247","0.797","0.797","0.797","0.801","0.801","0.801","0.278","0.278","0.278"
"248","0.7825","0.7825","0.7825","0.806","0.806","0.806","0.2775","0.2775","0.2775"
"249","0.778","0.778","0.778","0.7805","0.7805","0.7805","0.2775","0.2775","0.2775"
"250","0","0","0","0","0","0","0.0345","0.0345","0.0345"
"251","0.5675","0.5675","0.5675","0.743","0.743","0.743","0.077","0.077","0.077"
"252","0.6615","0.6615","0.6615","0.8025","0.8025","0.8025","0.182","0.182","0.182"
"253","0.6515","0.6515","0.6515","0.756","0.756","0.756","0.196","0.196","0.196"
"254","0.6225","0.6225","0.6225","0.7855","0.7855","0.7855","0.211","0.211","0.211"
"255","0.6765","0.6765","0.6765","0.84","0.84","0.84","0.2055","0.2055","0.2055"
"256","0.698","0.698","0.698","0.8215","0.8215","0.8215","0.2145","0.2145","0.2145"
"257","0.6505","0.6505","0.6505","0.81","0.81","0.81","0.2125","0.2125","0.2125"
"258","0.716","0.716","0.716","0.8425","0.8425","0.8425","0.2225","0.2225","0.2225"
"259","0.672","0.672","0.672","0.8285","0.8285","0.8285","0.222","0.222","0.222"
"260","0.684","0.684","0.684","0.849","0.849","0.849","0.2315","0.2315","0.2315"
"261","0.691","0.691","0.691","0.8235","0.8235","0.8235","0.2265","0.2265","0.2265"
"262","0.6745","0.6745","0.6745","0.842","0.842","0.842","0.242","0.242","0.242"
"263","0.729","0.729","0.729","0.8405","0.8405","0.8405","0.2445","0.2445","0.2445"
"264","0.73","0.73","0.73","0.846","0.846","0.846","0.2455","0.2455","0.2455"
"265","0.68","0.68","0.68","0.8235","0.8235","0.8235","0.2655","0.2655","0.2655"
"266","0.739","0.739","0.739","0.831","0.831","0.831","0.247","0.247","0.247"
"267","0.686","0.686","0.686","0.8505","0.8505","0.8505","0.2515","0.2515","0.2515"
"268","0.7145","0.7145","0.7145","0.8285","0.8285","0.8285","0.2595","0.2595","0.2595"
