"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"836","0.232","0.232","0.232","0.227","0.227","0.227","0.23","0.23","0.23"
"841","","","","0.244","0.244","0.244","","",""
"842","0.2605","0.2605","0.2605","","","","","",""
"844","","","","","","","0.26","0.26","0.26"
"846","","","","0.2495","0.2495","0.2495","","",""
"847","0.2685","0.2685","0.2685","","","","","",""
"848","","","","0.2535","0.2535","0.2535","","",""
"851","","","","","","","0","0","0"
"855","","","","0.1465","0.1465","0.1465","","",""
"856","0.161","0.161","0.161","","","","","",""
"858","","","","","","","0.185","0.185","0.185"
"860","0.195","0.195","0.195","","","","0.2055","0.2055","0.2055"
"862","0.209","0.209","0.209","","","","0.219","0.219","0.219"
"864","","","","","","","0.2275","0.2275","0.2275"
"865","","","","","","","0.2265","0.2265","0.2265"
"870","","","","0.219","0.219","0.219","","",""
"871","0.2435","0.2435","0.2435","","","","","",""
"874","","","","0.227","0.227","0.227","","",""
"875","","","","","","","0","0","0"
"878","","","","","","","0.12","0.12","0.12"
"879","","","","0.186","0.186","0.186","","",""
"883","0.2775","0.2775","0.2775","","","","","",""
"889","","","","","","","0.331","0.331","0.331"
"891","","","","","","","0.343","0.343","0.343"
"892","0.34","0.34","0.34","","","","","",""
"894","","","","","","","0.3535","0.3535","0.3535"
"904","0.1195","0.1195","0.1195","","","","","",""
"905","0.148","0.148","0.148","","","","","",""
"907","0.197","0.197","0.197","","","","","",""
"908","","","","","","","0.203","0.203","0.203"
"911","","","","0.214","0.214","0.214","0.23","0.23","0.23"
"913","0.2415","0.2415","0.2415","","","","","",""
"914","","","","0.2315","0.2315","0.2315","","",""
"915","","","","","","","0.2375","0.2375","0.2375"
"920","","","","0.238","0.238","0.238","","",""
"921","0.2615","0.2615","0.2615","","","","","",""
"925","","","","","","","0.018","0.018","0.018"
"926","","","","0.035","0.035","0.035","","",""
"927","0.051","0.051","0.051","","","","","",""
"929","0.1255","0.1255","0.1255","","","","0.127","0.127","0.127"
"930","0.1445","0.1445","0.1445","","","","","",""
"932","","","","0.172","0.172","0.172","0.203","0.203","0.203"
"934","0.2305","0.2305","0.2305","","","","","",""
"935","","","","","","","0.2705","0.2705","0.2705"
"936","","","","0.2355","0.2355","0.2355","","",""
"937","0.276","0.276","0.276","","","","","",""
"943","","","","0.274","0.274","0.274","","",""
"944","0.2955","0.2955","0.2955","0.277","0.277","0.277","0.3065","0.3065","0.3065"
"947","","","","0.2785","0.2785","0.2785","","",""
"949","0.309","0.309","0.309","0.288","0.288","0.288","","",""
"960","","","","","","","0.2485","0.2485","0.2485"
"961","0.247","0.247","0.247","","","","0.255","0.255","0.255"
"963","","","","0.2515","0.2515","0.2515","","",""
"966","","","","","","","0.2705","0.2705","0.2705"
"972","","","","","","","0.283","0.283","0.283"
"973","0.2825","0.2825","0.2825","","","","","",""
"980","0.1585","0.1585","0.1585","","","","","",""
"983","0.173","0.173","0.173","","","","","",""
"984","","","","0.1825","0.1825","0.1825","","",""
"985","","","","","","","0.1815","0.1815","0.1815"
"986","","","","","","","0.187","0.187","0.187"
"987","","","","0.205","0.205","0.205","","",""
"988","0.2145","0.2145","0.2145","","","","","",""
"989","","","","0.209","0.209","0.209","0.213","0.213","0.213"
"991","","","","0.212","0.212","0.212","","",""
"992","0.221","0.221","0.221","","","","","",""
"994","0.234","0.234","0.234","","","","","",""
"995","","","","","","","0.226","0.226","0.226"
"997","","","","","","","0.231","0.231","0.231"
"998","0.2365","0.2365","0.2365","","","","","",""
"1000","","","","","","","0.016","0.016","0.016"
"1001","","","","0.03","0.03","0.03","","",""
"1004","","","","0.1505","0.1505","0.1505","","",""
"1008","0.1995","0.1995","0.1995","","","","","",""
"1009","0.209","0.209","0.209","","","","","",""
"1010","0.214","0.214","0.214","","","","","",""
"1012","","","","0.2245","0.2245","0.2245","","",""
"1016","","","","","","","0.2785","0.2785","0.2785"
"1017","","","","","","","0.282","0.282","0.282"
"1022","","","","0.263","0.263","0.263","","",""
"1024","","","","","","","0.2975","0.2975","0.2975"
"1027","","","","","","","0.096","0.096","0.096"
"1029","","","","","","","0.163","0.163","0.163"
"1030","","","","","","","0.1965","0.1965","0.1965"
"1035","","","","0.266","0.266","0.266","0.2665","0.2665","0.2665"
"1036","","","","0.2655","0.2655","0.2655","","",""
"1043","0.3045","0.3045","0.3045","","","","","",""
"1046","","","","0.2875","0.2875","0.2875","0.3185","0.3185","0.3185"
"1048","0.318","0.318","0.318","","","","","",""
"1051","0","0","0","","","","0","0","0"
"1052","0.018","0.018","0.018","0.028","0.028","0.028","","",""
"1056","0.2235","0.2235","0.2235","0.2265","0.2265","0.2265","","",""
"1057","0.2315","0.2315","0.2315","","","","","",""
"1059","","","","","","","0.2555","0.2555","0.2555"
"1062","0.2895","0.2895","0.2895","","","","","",""
"1067","","","","","","","0.304","0.304","0.304"
"1072","0.314","0.314","0.314","0.301","0.301","0.301","0.314","0.314","0.314"
"1075","","","","","","","0","0","0"
"1077","","","","","","","0.02","0.02","0.02"
"1078","","","","","","","0.1045","0.1045","0.1045"
"1081","","","","0.2065","0.2065","0.2065","","",""
"1086","","","","0.262","0.262","0.262","","",""
"1089","","","","","","","0.278","0.278","0.278"
"1090","0.276","0.276","0.276","","","","","",""
"1091","","","","0.265","0.265","0.265","","",""
"1093","","","","0.273","0.273","0.273","","",""
"1095","","","","0.275","0.275","0.275","0.3045","0.3045","0.3045"
"1096","0.2925","0.2925","0.2925","0.2805","0.2805","0.2805","","",""
"1099","","","","0.281","0.281","0.281","","",""
"1102","","","","0.015","0.015","0.015","","",""
"1103","","","","0.0675","0.0675","0.0675","","",""
"1104","0.1245","0.1245","0.1245","","","","","",""
"1106","0.183","0.183","0.183","","","","","",""
"1108","0.2275","0.2275","0.2275","","","","","",""
"1110","","","","0.237","0.237","0.237","0.2545","0.2545","0.2545"
"1111","","","","0.237","0.237","0.237","","",""
"1113","","","","0.2495","0.2495","0.2495","","",""
"1115","","","","0.255","0.255","0.255","","",""
"1116","","","","","","","0.2825","0.2825","0.2825"
"1118","","","","","","","0.2895","0.2895","0.2895"
"1123","0.296","0.296","0.296","0.286","0.286","0.286","0.31","0.31","0.31"
"1128","0.0885","0.0885","0.0885","","","","","",""
"1129","0.1545","0.1545","0.1545","","","","","",""
"1131","","","","","","","0.2","0.2","0.2"
"1134","","","","","","","0.2355","0.2355","0.2355"
"1135","","","","0.2215","0.2215","0.2215","","",""
"1136","","","","","","","0.247","0.247","0.247"
"1139","0.2615","0.2615","0.2615","0.241","0.241","0.241","","",""
"1142","0.2655","0.2655","0.2655","","","","","",""
"1143","0.277","0.277","0.277","","","","","",""
"1144","","","","","","","0.269","0.269","0.269"
"1147","","","","0.2525","0.2525","0.2525","","",""
"1150","0","0","0","0","0","0","0","0","0"
"1151","","","","","","","0","0","0"
"1152","","","","0.0105","0.0105","0.0105","","",""
