"Step","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05_stgm_rounds=25, stgm_learning_rate=50, stgm_momentum=0.1, stgm_step_size=10, stgm_gamma=0.7, stgm_c=0.4, stgm_meta_lr=0.5, grad_balance=True, local_epochs=3, local_learning_rate=0.05 - Global/Averaged Test Accuracy__MAX"
"1734","0.347","0.347","0.347"
"1741","0.358","0.358","0.358"
"1742","0.36","0.36","0.36"
"1748","0.3605","0.3605","0.3605"
"1751","0.366","0.366","0.366"
"1752","0.3665","0.3665","0.3665"
"1753","0.3665","0.3665","0.3665"
"1755","0.371","0.371","0.371"
"1767","0.3745","0.3745","0.3745"
"1776","0.3805","0.3805","0.3805"
"1778","0.3775","0.3775","0.3775"
"1781","0.378","0.378","0.378"
"1783","0.379","0.379","0.379"
"1789","0.381","0.381","0.381"
"1795","0.382","0.382","0.382"
"1797","0.3805","0.3805","0.3805"
"1806","0.1125","0.1125","0.1125"
"1807","0.148","0.148","0.148"
"1832","0.3145","0.3145","0.3145"
"1833","0.316","0.316","0.316"
"1834","0.3185","0.3185","0.3185"
"1839","0.3205","0.3205","0.3205"
"1840","0.3155","0.3155","0.3155"
"1852","0.325","0.325","0.325"
"1853","0.325","0.325","0.325"
"1854","0.3285","0.3285","0.3285"
"1855","0.329","0.329","0.329"
"1857","0.3315","0.3315","0.3315"
"1860","0.328","0.328","0.328"
"1870","0.3345","0.3345","0.3345"
"1874","0.334","0.334","0.334"
"1875","0.336","0.336","0.336"
"1879","0.334","0.334","0.334"
"1881","0.3365","0.3365","0.3365"
"1884","0.33","0.33","0.33"
"1890","0.331","0.331","0.331"
"1903","0.031","0.031","0.031"
"1907","0.148","0.148","0.148"
"1916","0.322","0.322","0.322"
"1926","0.3415","0.3415","0.3415"
"1927","0.3435","0.3435","0.3435"
"1931","0.3545","0.3545","0.3545"
"1932","0.3565","0.3565","0.3565"
"1935","0.359","0.359","0.359"
"1948","0.3675","0.3675","0.3675"
"1949","0.369","0.369","0.369"
"1951","0.374","0.374","0.374"
"1954","0.367","0.367","0.367"
"1966","0.374","0.374","0.374"
"1967","0.382","0.382","0.382"
"1969","0.3845","0.3845","0.3845"
"1970","0.3875","0.3875","0.3875"
"1971","0.382","0.382","0.382"
"1984","0.3875","0.3875","0.3875"
"1988","0.386","0.386","0.386"
"1991","0.3875","0.3875","0.3875"
"1992","0.3905","0.3905","0.3905"
"2006","0.148","0.148","0.148"
"2009","0.179","0.179","0.179"
"2013","0.2425","0.2425","0.2425"
"2016","0.275","0.275","0.275"
"2022","0.305","0.305","0.305"
"2029","0.319","0.319","0.319"
"2031","0.325","0.325","0.325"
"2057","0.3555","0.3555","0.3555"
"2068","0.355","0.355","0.355"
"2069","0.3575","0.3575","0.3575"
"2071","0.3605","0.3605","0.3605"
"2074","0.3635","0.3635","0.3635"
"2078","0.363","0.363","0.363"
"2080","0.3665","0.3665","0.3665"
"2083","0.3645","0.3645","0.3645"
"2086","0.37","0.37","0.37"
"2095","0.371","0.371","0.371"
"2104","0.124","0.124","0.124"
"2107","0.2075","0.2075","0.2075"
"2111","0.253","0.253","0.253"
"2113","0.2735","0.2735","0.2735"
"2115","0.2865","0.2865","0.2865"
"2117","0.311","0.311","0.311"
"2119","0.3215","0.3215","0.3215"
"2121","0.331","0.331","0.331"
"2129","0.3485","0.3485","0.3485"
"2133","0.3545","0.3545","0.3545"
"2136","0.359","0.359","0.359"
"2138","0.3645","0.3645","0.3645"
"2142","0.368","0.368","0.368"
"2145","0.3705","0.3705","0.3705"
"2153","0.376","0.376","0.376"
"2166","0.3775","0.3775","0.3775"
"2170","0.381","0.381","0.381"
"2171","0.38","0.38","0.38"
"2175","0.3825","0.3825","0.3825"
"2186","0.389","0.389","0.389"
"2187","0.389","0.389","0.389"
"2193","0.387","0.387","0.387"
"2203","0.0385","0.0385","0.0385"
"2205","0.069","0.069","0.069"
"2207","0.1045","0.1045","0.1045"
"2209","0.124","0.124","0.124"
"2210","0.1505","0.1505","0.1505"
"2213","0.233","0.233","0.233"
"2220","0.3075","0.3075","0.3075"
"2221","0.3075","0.3075","0.3075"
"2237","0.3405","0.3405","0.3405"
"2243","0.336","0.336","0.336"
"2246","0.343","0.343","0.343"
"2251","0.361","0.361","0.361"
"2254","0.357","0.357","0.357"
"2265","0.36","0.36","0.36"
"2267","0.3595","0.3595","0.3595"
"2271","0.365","0.365","0.365"
"2274","0.3655","0.3655","0.3655"
"2276","0.365","0.365","0.365"
"2285","0.36","0.36","0.36"
"2289","0.363","0.363","0.363"
"2292","0.363","0.363","0.363"
"2309","0.1645","0.1645","0.1645"
"2319","0.3035","0.3035","0.3035"
"2326","0.3275","0.3275","0.3275"
"2328","0.3285","0.3285","0.3285"
"2336","0.345","0.345","0.345"
"2337","0.343","0.343","0.343"
"2347","0.357","0.357","0.357"
"2350","0.3515","0.3515","0.3515"
"2368","0.359","0.359","0.359"
"2373","0.364","0.364","0.364"
"2374","0.3665","0.3665","0.3665"
"2375","0.363","0.363","0.363"
"2379","0.3615","0.3615","0.3615"
"2384","0.37","0.37","0.37"
"2389","0.3655","0.3655","0.3655"
"2391","0.3625","0.3625","0.3625"
"2397","0.372","0.372","0.372"
"2401","0","0","0"
"2402","0.009","0.009","0.009"
"2406","0.1035","0.1035","0.1035"
"2410","0.177","0.177","0.177"
"2413","0.238","0.238","0.238"
"2420","0.283","0.283","0.283"
"2421","0.2875","0.2875","0.2875"
"2435","0.31","0.31","0.31"
"2442","0.3145","0.3145","0.3145"
"2465","0.3265","0.3265","0.3265"
"2471","0.3245","0.3245","0.3245"
"2490","0.331","0.331","0.331"
"2491","0.332","0.332","0.332"
"2498","0.329","0.329","0.329"
"2510","0.191","0.191","0.191"
"2515","0.2515","0.2515","0.2515"
"2516","0.256","0.256","0.256"
"2522","0.284","0.284","0.284"
"2523","0.284","0.284","0.284"
"2524","0.2855","0.2855","0.2855"
"2525","0.287","0.287","0.287"
"2530","0.297","0.297","0.297"
"2537","0.304","0.304","0.304"
"2545","0.313","0.313","0.313"
"2547","0.315","0.315","0.315"
"2561","0.321","0.321","0.321"
"2565","0.3205","0.3205","0.3205"
"2569","0.3225","0.3225","0.3225"
"2573","0.325","0.325","0.325"
"2584","0.3285","0.3285","0.3285"
"2587","0.3325","0.3325","0.3325"
"2589","0.331","0.331","0.331"
"2592","0.3265","0.3265","0.3265"
"2593","0.3255","0.3255","0.3255"
"2596","0.3305","0.3305","0.3305"
"2598","0.329","0.329","0.329"
"2599","0.3305","0.3305","0.3305"
"2601","0.0205","0.0205","0.0205"
"2604","0.063","0.063","0.063"
"2616","0.2805","0.2805","0.2805"
"2631","0.3315","0.3315","0.3315"
"2645","0.348","0.348","0.348"
"2658","0.363","0.363","0.363"
"2660","0.369","0.369","0.369"
"2664","0.369","0.369","0.369"
"2665","0.3675","0.3675","0.3675"
"2669","0.374","0.374","0.374"
"2676","0.375","0.375","0.375"
"2680","0.373","0.373","0.373"
"2682","0.3755","0.3755","0.3755"
"2692","0.385","0.385","0.385"
