"Step","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"518","0.2325","0.2325","0.2325"
"519","0.2365","0.2365","0.2365"
"520","0.2365","0.2365","0.2365"
"521","0.235","0.235","0.235"
"522","0.2395","0.2395","0.2395"
"523","0.2385","0.2385","0.2385"
"524","0.2435","0.2435","0.2435"
"525","0.0405","0.0405","0.0405"
"526","0.06","0.06","0.06"
"527","0.082","0.082","0.082"
"528","0.117","0.117","0.117"
"529","0.155","0.155","0.155"
"530","0.173","0.173","0.173"
"531","0.1875","0.1875","0.1875"
"532","0.192","0.192","0.192"
"533","0.197","0.197","0.197"
"534","0.2015","0.2015","0.2015"
"535","0.2015","0.2015","0.2015"
"536","0.21","0.21","0.21"
"537","0.2155","0.2155","0.2155"
"538","0.223","0.223","0.223"
"539","0.2295","0.2295","0.2295"
"540","0.2305","0.2305","0.2305"
"541","0.2315","0.2315","0.2315"
"542","0.2315","0.2315","0.2315"
"543","0.227","0.227","0.227"
"544","0.2295","0.2295","0.2295"
"545","0.23","0.23","0.23"
"546","0.228","0.228","0.228"
"547","0.231","0.231","0.231"
"548","0.23","0.23","0.23"
"549","0.2365","0.2365","0.2365"
"550","0.0175","0.0175","0.0175"
"551","0.035","0.035","0.035"
"552","0.0415","0.0415","0.0415"
"553","0.0585","0.0585","0.0585"
"554","0.082","0.082","0.082"
"555","0.1255","0.1255","0.1255"
"556","0.1505","0.1505","0.1505"
"557","0.164","0.164","0.164"
"558","0.1805","0.1805","0.1805"
"559","0.191","0.191","0.191"
"560","0.194","0.194","0.194"
"561","0.2015","0.2015","0.2015"
"562","0.206","0.206","0.206"
"563","0.2045","0.2045","0.2045"
"564","0.21","0.21","0.21"
"565","0.212","0.212","0.212"
"566","0.217","0.217","0.217"
"567","0.215","0.215","0.215"
"568","0.2175","0.2175","0.2175"
"569","0.224","0.224","0.224"
"570","0.224","0.224","0.224"
"571","0.2245","0.2245","0.2245"
"572","0.2275","0.2275","0.2275"
"573","0.227","0.227","0.227"
"574","0.232","0.232","0.232"
"575","0","0","0"
"576","0","0","0"
"577","0.004","0.004","0.004"
"578","0.0735","0.0735","0.0735"
"579","0.118","0.118","0.118"
"580","0.125","0.125","0.125"
"581","0.1455","0.1455","0.1455"
"582","0.1635","0.1635","0.1635"
"583","0.164","0.164","0.164"
"584","0.1745","0.1745","0.1745"
"585","0.18","0.18","0.18"
"586","0.1835","0.1835","0.1835"
"587","0.187","0.187","0.187"
"588","0.1875","0.1875","0.1875"
"589","0.188","0.188","0.188"
"590","0.1855","0.1855","0.1855"
"591","0.1885","0.1885","0.1885"
"592","0.1925","0.1925","0.1925"
"593","0.1945","0.1945","0.1945"
"594","0.1975","0.1975","0.1975"
"595","0.2","0.2","0.2"
"596","0.197","0.197","0.197"
"597","0.199","0.199","0.199"
"598","0.201","0.201","0.201"
"599","0.2015","0.2015","0.2015"
"600","0","0","0"
"601","0","0","0"
"602","0.0035","0.0035","0.0035"
"603","0.0445","0.0445","0.0445"
"604","0.1175","0.1175","0.1175"
"605","0.159","0.159","0.159"
"606","0.177","0.177","0.177"
"607","0.196","0.196","0.196"
"608","0.2","0.2","0.2"
"609","0.206","0.206","0.206"
"610","0.207","0.207","0.207"
"611","0.212","0.212","0.212"
"612","0.2125","0.2125","0.2125"
"613","0.2115","0.2115","0.2115"
"614","0.2155","0.2155","0.2155"
"615","0.2135","0.2135","0.2135"
"616","0.2165","0.2165","0.2165"
"617","0.2245","0.2245","0.2245"
"618","0.226","0.226","0.226"
"619","0.2305","0.2305","0.2305"
"620","0.233","0.233","0.233"
"621","0.234","0.234","0.234"
"622","0.2345","0.2345","0.2345"
"623","0.237","0.237","0.237"
"624","0.2415","0.2415","0.2415"
"625","0","0","0"
"626","0","0","0"
"627","0.0185","0.0185","0.0185"
"628","0.095","0.095","0.095"
"629","0.1325","0.1325","0.1325"
"630","0.152","0.152","0.152"
"631","0.172","0.172","0.172"
"632","0.176","0.176","0.176"
"633","0.1845","0.1845","0.1845"
"634","0.189","0.189","0.189"
"635","0.193","0.193","0.193"
"636","0.1975","0.1975","0.1975"
"637","0.2005","0.2005","0.2005"
"638","0.207","0.207","0.207"
"639","0.2075","0.2075","0.2075"
"640","0.215","0.215","0.215"
"641","0.217","0.217","0.217"
"642","0.2245","0.2245","0.2245"
"643","0.228","0.228","0.228"
"644","0.225","0.225","0.225"
"645","0.233","0.233","0.233"
"646","0.2295","0.2295","0.2295"
"647","0.2305","0.2305","0.2305"
"648","0.228","0.228","0.228"
"649","0.233","0.233","0.233"
"650","0.001","0.001","0.001"
"651","0.0125","0.0125","0.0125"
