"Step","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet34_FedAvg_sgd_lr0.001_BigModel - Global/Averaged Test Accuracy__MAX"
"3892","0.6485","0.6485","0.6485"
"3900","0","0","0"
"3905","0.482","0.482","0.482"
"3910","0.623","0.623","0.623"
"3914","0.649","0.649","0.649"
"3921","0.7045","0.7045","0.7045"
"3922","0.7025","0.7025","0.7025"
"3940","0.6165","0.6165","0.6165"
"3941","0.6375","0.6375","0.6375"
"3946","0.5745","0.5745","0.5745"
"3961","0.594","0.594","0.594"
"3962","0.5755","0.5755","0.5755"
"3970","0.5995","0.5995","0.5995"
"3972","0.587","0.587","0.587"
"3973","0.572","0.572","0.572"
"3978","0.3645","0.3645","0.3645"
"3991","0.5825","0.5825","0.5825"
"3997","0.568","0.568","0.568"
"4004","0.4665","0.4665","0.4665"
"4020","0.6845","0.6845","0.6845"
"4025","0","0","0"
"4040","0.558","0.558","0.558"
"4048","0.55","0.55","0.55"
"4053","0.327","0.327","0.327"
"4062","0.5975","0.5975","0.5975"
"4067","0.6005","0.6005","0.6005"
"4074","0.5535","0.5535","0.5535"
"4075","0","0","0"
"4080","0.4285","0.4285","0.4285"
"4083","0.6105","0.6105","0.6105"
"4092","0.6035","0.6035","0.6035"
"4093","0.5835","0.5835","0.5835"
"4102","0.314","0.314","0.314"
"4107","0.5135","0.5135","0.5135"
"4109","0.496","0.496","0.496"
"4113","0.547","0.547","0.547"
"4115","0.535","0.535","0.535"
"4127","0.1965","0.1965","0.1965"
"4138","0.4755","0.4755","0.4755"
"4142","0.4675","0.4675","0.4675"
"4148","0.488","0.488","0.488"
"4151","0.0635","0.0635","0.0635"
"4158","0.5765","0.5765","0.5765"
"4166","0.595","0.595","0.595"
"4176","0.161","0.161","0.161"
"4180","0.542","0.542","0.542"
"4183","0.627","0.627","0.627"
"4186","0.671","0.671","0.671"
"4187","0.703","0.703","0.703"
"4188","0.654","0.654","0.654"
"4194","0.6305","0.6305","0.6305"
"4201","0.1895","0.1895","0.1895"
"4205","0.3965","0.3965","0.3965"
"4229","0.4925","0.4925","0.4925"
"4238","0.6085","0.6085","0.6085"
"4240","0.548","0.548","0.548"
"4265","0.5035","0.5035","0.5035"
"4273","0.5095","0.5095","0.5095"
"4278","0.321","0.321","0.321"
"4282","0.6195","0.6195","0.6195"
"4284","0.5885","0.5885","0.5885"
"4285","0.605","0.605","0.605"
"4298","0.618","0.618","0.618"
"4314","0.646","0.646","0.646"
"4315","0.6355","0.6355","0.6355"
"4316","0.5885","0.5885","0.5885"
"4318","0.6225","0.6225","0.6225"
"4321","0.5935","0.5935","0.5935"
"4334","0.592","0.592","0.592"
"4368","0.609","0.609","0.609"
"4373","0.596","0.596","0.596"
"4374","0.5585","0.5585","0.5585"
"4382","0.55","0.55","0.55"
"4386","0.5655","0.5655","0.5655"
"4389","0.5895","0.5895","0.5895"
"4396","0.605","0.605","0.605"
"4400","0","0","0"
"4403","0.368","0.368","0.368"
"4413","0.601","0.601","0.601"
"4428","0.4505","0.4505","0.4505"
"4441","0.611","0.611","0.611"
"4442","0.617","0.617","0.617"
"4450","0","0","0"
"4460","0.569","0.569","0.569"
"4464","0.53","0.53","0.53"
"4476","0.089","0.089","0.089"
"4479","0.505","0.505","0.505"
"4485","0.5625","0.5625","0.5625"
"4491","0.5745","0.5745","0.5745"
"4497","0.5235","0.5235","0.5235"
"4500","0","0","0"
"4502","0.387","0.387","0.387"
"4517","0.579","0.579","0.579"
"4518","0.545","0.545","0.545"
"4522","0.554","0.554","0.554"
"4530","0.4895","0.4895","0.4895"
"4536","0.5395","0.5395","0.5395"
"4540","0.5495","0.5495","0.5495"
"4542","0.5555","0.5555","0.5555"
"4548","0.519","0.519","0.519"
"4556","0.5395","0.5395","0.5395"
"4613","0.582","0.582","0.582"
"4615","0.593","0.593","0.593"
"4620","0.527","0.527","0.527"
"4628","0.429","0.429","0.429"
"4632","0.516","0.516","0.516"
"4637","0.59","0.59","0.59"
"4641","0.567","0.567","0.567"
"4647","0.542","0.542","0.542"
"4658","0.6005","0.6005","0.6005"
"4664","0.603","0.603","0.603"
"4666","0.5805","0.5805","0.5805"
"4684","0.693","0.693","0.693"
"4699","0.616","0.616","0.616"
"4700","0","0","0"
