"Step","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX"
"206","0.112","0.112","0.112","0.1378","0.1378","0.1378","0.1362","0.1362","0.1362"
"207","0.124","0.124","0.124","0.1448","0.1448","0.1448","0.1442","0.1442","0.1442"
"208","0.1325","0.1325","0.1325","0.1492","0.1492","0.1492","0.1483","0.1483","0.1483"
"209","0.138","0.138","0.138","0.15335","0.15335","0.15335","0.1535","0.1535","0.1535"
"210","0.138","0.138","0.138","0.15685","0.15685","0.15685","0.1584","0.1584","0.1584"
"211","0.1445","0.1445","0.1445","0.16025","0.16025","0.16025","0.1626","0.1626","0.1626"
"212","0.1485","0.1485","0.1485","0.1632","0.1632","0.1632","0.16555","0.16555","0.16555"
"213","0.15","0.15","0.15","0.16525","0.16525","0.16525","0.1684","0.1684","0.1684"
"214","0.152","0.152","0.152","0.16835","0.16835","0.16835","0.17025","0.17025","0.17025"
"215","0.161","0.161","0.161","0.17085","0.17085","0.17085","0.1732","0.1732","0.1732"
"216","0.1615","0.1615","0.1615","0.1716","0.1716","0.1716","0.17405","0.17405","0.17405"
"217","0.1595","0.1595","0.1595","0.1733","0.1733","0.1733","0.1774","0.1774","0.1774"
"218","0.1655","0.1655","0.1655","0.1769","0.1769","0.1769","0.1796","0.1796","0.1796"
"219","0.165","0.165","0.165","0.17715","0.17715","0.17715","0.1806","0.1806","0.1806"
"220","0.1665","0.1665","0.1665","0.1783","0.1783","0.1783","0.1815","0.1815","0.1815"
"221","0.1655","0.1655","0.1655","0.18095","0.18095","0.18095","0.18255","0.18255","0.18255"
"222","0.1745","0.1745","0.1745","0.18085","0.18085","0.18085","0.1837","0.1837","0.1837"
"223","0.1695","0.1695","0.1695","0.1814","0.1814","0.1814","0.18485","0.18485","0.18485"
"224","0.1765","0.1765","0.1765","0.18245","0.18245","0.18245","0.18445","0.18445","0.18445"
"225","0","0","0","0.02465","0.02465","0.02465","0.02605","0.02605","0.02605"
"226","0","0","0","0.05215","0.05215","0.05215","0.05165","0.05165","0.05165"
"227","0","0","0","0.0725","0.0725","0.0725","0.0716","0.0716","0.0716"
"228","0","0","0","0.09215","0.09215","0.09215","0.0923","0.0923","0.0923"
"229","0.0825","0.0825","0.0825","0.10985","0.10985","0.10985","0.10995","0.10995","0.10995"
"230","0.11","0.11","0.11","0.12415","0.12415","0.12415","0.1228","0.1228","0.1228"
"231","0.12","0.12","0.12","0.1325","0.1325","0.1325","0.13205","0.13205","0.13205"
"232","0.146","0.146","0.146","0.14035","0.14035","0.14035","0.1392","0.1392","0.1392"
"233","0.158","0.158","0.158","0.14525","0.14525","0.14525","0.1446","0.1446","0.1446"
"234","0.162","0.162","0.162","0.15025","0.15025","0.15025","0.1497","0.1497","0.1497"
"235","0.162","0.162","0.162","0.15345","0.15345","0.15345","0.1528","0.1528","0.1528"
"236","0.1685","0.1685","0.1685","0.15565","0.15565","0.15565","0.15685","0.15685","0.15685"
"237","0.173","0.173","0.173","0.1566","0.1566","0.1566","0.15925","0.15925","0.15925"
"238","0.1715","0.1715","0.1715","0.15975","0.15975","0.15975","0.1608","0.1608","0.1608"
"239","0.1725","0.1725","0.1725","0.1625","0.1625","0.1625","0.16245","0.16245","0.16245"
"240","0.174","0.174","0.174","0.16265","0.16265","0.16265","0.16505","0.16505","0.16505"
"241","0.1745","0.1745","0.1745","0.1641","0.1641","0.1641","0.1658","0.1658","0.1658"
"242","0.172","0.172","0.172","0.16595","0.16595","0.16595","0.1669","0.1669","0.1669"
"243","0.179","0.179","0.179","0.1665","0.1665","0.1665","0.16765","0.16765","0.16765"
"244","0.18","0.18","0.18","0.1677","0.1677","0.1677","0.1697","0.1697","0.1697"
"245","0.1775","0.1775","0.1775","0.1676","0.1676","0.1676","0.1702","0.1702","0.1702"
"246","0.1895","0.1895","0.1895","0.1684","0.1684","0.1684","0.1705","0.1705","0.1705"
"247","0.1815","0.1815","0.1815","0.1687","0.1687","0.1687","0.17125","0.17125","0.17125"
"248","0.186","0.186","0.186","0.1693","0.1693","0.1693","0.17065","0.17065","0.17065"
"249","0.192","0.192","0.192","0.17075","0.17075","0.17075","0.1709","0.1709","0.1709"
