Step,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedALA_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN,CIFAR100_CNN_FedAvg_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX
209,0.33835,0.33835,0.33835,0.248,0.248,0.248,0.2245,0.2245,0.2245
210,0.3409,0.3409,0.3409,0.254,0.254,0.254,0.2305,0.2305,0.2305
211,0.34145,0.34145,0.34145,0.251,0.251,0.251,0.2305,0.2305,0.2305
212,0.34,0.34,0.34,0.2585,0.2585,0.2585,0.2475,0.2475,0.2475
213,0.3416,0.3416,0.3416,0.262,0.262,0.262,0.25,0.25,0.25
214,0.34035,0.34035,0.34035,0.266,0.266,0.266,0.25,0.25,0.25
215,0.3425,0.3425,0.3425,0.2605,0.2605,0.2605,0.241,0.241,0.241
216,0.3448,0.3448,0.3448,0.2725,0.2725,0.2725,0.254,0.254,0.254
217,0.3414,0.3414,0.3414,0.271,0.271,0.271,0.2605,0.2605,0.2605
218,0.34185,0.34185,0.34185,0.278,0.278,0.278,0.2535,0.2535,0.2535
219,0.34115,0.34115,0.34115,0.2785,0.2785,0.2785,0.2535,0.2535,0.2535
220,0.343,0.343,0.343,0.277,0.277,0.277,0.26,0.26,0.26
221,0.3417,0.3417,0.3417,0.273,0.273,0.273,0.2415,0.2415,0.2415
222,0.34135,0.34135,0.34135,0.283,0.283,0.283,0.2605,0.2605,0.2605
223,0.34365,0.34365,0.34365,0.278,0.278,0.278,0.253,0.253,0.253
224,0.34245,0.34245,0.34245,0.283,0.283,0.283,0.2585,0.2585,0.2585
225,0.237,0.237,0.237,0.0065,0.0065,0.0065,0.0035,0.0035,0.0035
226,0.2893,0.2893,0.2893,0.1185,0.1185,0.1185,0.119,0.119,0.119
227,0.30185,0.30185,0.30185,0.192,0.192,0.192,0.19,0.19,0.19
228,0.30535,0.30535,0.30535,0.2215,0.2215,0.2215,0.2235,0.2235,0.2235
229,0.31,0.31,0.31,0.2365,0.2365,0.2365,0.236,0.236,0.236
230,0.31115,0.31115,0.31115,0.254,0.254,0.254,0.239,0.239,0.239
231,0.31135,0.31135,0.31135,0.2625,0.2625,0.2625,0.243,0.243,0.243
232,0.3128,0.3128,0.3128,0.263,0.263,0.263,0.2555,0.2555,0.2555
233,0.3133,0.3133,0.3133,0.267,0.267,0.267,0.2605,0.2605,0.2605
234,0.3142,0.3142,0.3142,0.2665,0.2665,0.2665,0.2645,0.2645,0.2645
235,0.31415,0.31415,0.31415,0.268,0.268,0.268,0.2655,0.2655,0.2655
236,0.3142,0.3142,0.3142,0.2695,0.2695,0.2695,0.2665,0.2665,0.2665
237,0.31555,0.31555,0.31555,0.2645,0.2645,0.2645,0.263,0.263,0.263
238,0.3152,0.3152,0.3152,0.279,0.279,0.279,0.2635,0.2635,0.2635
239,0.31565,0.31565,0.31565,0.275,0.275,0.275,0.2735,0.2735,0.2735
240,0.31455,0.31455,0.31455,0.277,0.277,0.277,0.2735,0.2735,0.2735
241,0.31315,0.31315,0.31315,0.2795,0.2795,0.2795,0.2695,0.2695,0.2695
242,0.31435,0.31435,0.31435,0.2825,0.2825,0.2825,0.268,0.268,0.268
243,0.31425,0.31425,0.31425,0.2795,0.2795,0.2795,0.273,0.273,0.273
244,0.3133,0.3133,0.3133,0.2795,0.2795,0.2795,0.2735,0.2735,0.2735
245,0.31485,0.31485,0.31485,0.282,0.282,0.282,0.2705,0.2705,0.2705
246,0.3133,0.3133,0.3133,0.2955,0.2955,0.2955,0.2725,0.2725,0.2725
247,0.3128,0.3128,0.3128,0.288,0.288,0.288,0.275,0.275,0.275
248,0.3152,0.3152,0.3152,0.288,0.288,0.288,0.2725,0.2725,0.2725
249,0.31375,0.31375,0.31375,0.29,0.29,0.29,0.2785,0.2785,0.2785
250,0.2636,0.2636,0.2636,0.033,0.033,0.033,0.0345,0.0345,0.0345
251,0.29995,0.29995,0.29995,0.089,0.089,0.089,0.0775,0.0775,0.0775
252,0.31075,0.31075,0.31075,0.1795,0.1795,0.1795,0.1835,0.1835,0.1835
253,0.31235,0.31235,0.31235,0.207,0.207,0.207,0.204,0.204,0.204
254,0.3161,0.3161,0.3161,0.2135,0.2135,0.2135,0.2095,0.2095,0.2095
255,0.31655,0.31655,0.31655,0.218,0.218,0.218,0.2065,0.2065,0.2065
256,0.31855,0.31855,0.31855,0.2295,0.2295,0.2295,0.2165,0.2165,0.2165
257,0.31775,0.31775,0.31775,0.2445,0.2445,0.2445,0.22,0.22,0.22
258,0.32045,0.32045,0.32045,0.2425,0.2425,0.2425,0.2215,0.2215,0.2215
259,0.3197,0.3197,0.3197,0.244,0.244,0.244,0.2255,0.2255,0.2255
260,0.32085,0.32085,0.32085,0.265,0.265,0.265,0.2305,0.2305,0.2305
261,0.3211,0.3211,0.3211,0.2895,0.2895,0.2895,0.2395,0.2395,0.2395
262,0.3204,0.3204,0.3204,0.268,0.268,0.268,0.25,0.25,0.25
263,0.3216,0.3216,0.3216,0.273,0.273,0.273,0.26,0.26,0.26
264,0.3208,0.3208,0.3208,0.287,0.287,0.287,0.2585,0.2585,0.2585
265,0.32095,0.32095,0.32095,0.298,0.298,0.298,0.252,0.252,0.252
266,0.3208,0.3208,0.3208,0.3035,0.3035,0.3035,0.261,0.261,0.261
267,0.3208,0.3208,0.3208,0.3055,0.3055,0.3055,0.2525,0.2525,0.2525
268,0.32195,0.32195,0.32195,0.3165,0.3165,0.3165,0.273,0.273,0.273
269,0.32065,0.32065,0.32065,0.3245,0.3245,0.3245,0.27,0.27,0.27
