Step,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MIN,IMAGENET1k_CNN_FedAvg_sgd_lr0.005[g] - Global/Averaged Distance__MAX
503,9.36E-08,9.36E-08,9.36E-08,9.36E-08,9.36E-08,9.36E-08,9.36E-08,9.36E-08,9.36E-08
510,5.41E-08,5.41E-08,5.41E-08,5.41E-08,5.41E-08,5.41E-08,5.41E-08,5.41E-08,5.41E-08
514,4.88E-08,4.88E-08,4.88E-08,4.88E-08,4.88E-08,4.88E-08,4.88E-08,4.88E-08,4.88E-08
524,4.24E-08,4.24E-08,4.24E-08,4.24E-08,4.24E-08,4.24E-08,4.24E-08,4.24E-08,4.24E-08
525,4.20E-08,4.20E-08,4.20E-08,4.20E-08,4.20E-08,4.20E-08,4.20E-08,4.20E-08,4.20E-08
529,8.49E-08,8.49E-08,8.49E-08,8.49E-08,8.49E-08,8.49E-08,8.49E-08,8.49E-08,8.49E-08
538,5.26E-08,5.26E-08,5.26E-08,5.26E-08,5.26E-08,5.26E-08,5.26E-08,5.26E-08,5.26E-08
540,5.01E-08,5.01E-08,5.01E-08,5.01E-08,5.01E-08,5.01E-08,5.01E-08,5.01E-08,5.01E-08
546,4.57E-08,4.57E-08,4.57E-08,4.57E-08,4.57E-08,4.57E-08,4.57E-08,4.57E-08,4.57E-08
560,5.52E-08,5.52E-08,5.52E-08,5.52E-08,5.52E-08,5.52E-08,5.52E-08,5.52E-08,5.52E-08
572,4.42E-08,4.42E-08,4.42E-08,4.42E-08,4.42E-08,4.42E-08,4.42E-08,4.42E-08,4.42E-08
575,4.31E-08,4.31E-08,4.31E-08,4.31E-08,4.31E-08,4.31E-08,4.31E-08,4.31E-08,4.31E-08
578,1.01E-07,1.01E-07,1.01E-07,1.01E-07,1.01E-07,1.01E-07,1.01E-07,1.01E-07,1.01E-07
582,6.41E-08,6.41E-08,6.41E-08,6.41E-08,6.41E-08,6.41E-08,6.41E-08,6.41E-08,6.41E-08
605,7.98E-08,7.98E-08,7.98E-08,7.98E-08,7.98E-08,7.98E-08,7.98E-08,7.98E-08,7.98E-08
612,5.37E-08,5.37E-08,5.37E-08,5.37E-08,5.37E-08,5.37E-08,5.37E-08,5.37E-08,5.37E-08
621,4.55E-08,4.55E-08,4.55E-08,4.55E-08,4.55E-08,4.55E-08,4.55E-08,4.55E-08,4.55E-08
627,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07,1.15E-07
628,9.32E-08,9.32E-08,9.32E-08,9.32E-08,9.32E-08,9.32E-08,9.32E-08,9.32E-08,9.32E-08
634,5.53E-08,5.53E-08,5.53E-08,5.53E-08,5.53E-08,5.53E-08,5.53E-08,5.53E-08,5.53E-08
638,4.93E-08,4.93E-08,4.93E-08,4.93E-08,4.93E-08,4.93E-08,4.93E-08,4.93E-08,4.93E-08
648,4.21E-08,4.21E-08,4.21E-08,4.21E-08,4.21E-08,4.21E-08,4.21E-08,4.21E-08,4.21E-08
653,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07,1.03E-07
663,5.06E-08,5.06E-08,5.06E-08,5.06E-08,5.06E-08,5.06E-08,5.06E-08,5.06E-08,5.06E-08
666,4.80E-08,4.80E-08,4.80E-08,4.80E-08,4.80E-08,4.80E-08,4.80E-08,4.80E-08,4.80E-08
670,4.47E-08,4.47E-08,4.47E-08,4.47E-08,4.47E-08,4.47E-08,4.47E-08,4.47E-08,4.47E-08
678,8.65E-08,8.65E-08,8.65E-08,8.65E-08,8.65E-08,8.65E-08,8.65E-08,8.65E-08,8.65E-08
687,4.82E-08,4.82E-08,4.82E-08,4.82E-08,4.82E-08,4.82E-08,4.82E-08,4.82E-08,4.82E-08
689,4.61E-08,4.61E-08,4.61E-08,4.61E-08,4.61E-08,4.61E-08,4.61E-08,4.61E-08,4.61E-08
694,4.27E-08,4.27E-08,4.27E-08,4.27E-08,4.27E-08,4.27E-08,4.27E-08,4.27E-08,4.27E-08
697,4.16E-08,4.16E-08,4.16E-08,4.16E-08,4.16E-08,4.16E-08,4.16E-08,4.16E-08,4.16E-08
700,4.07E-08,4.07E-08,4.07E-08,4.07E-08,4.07E-08,4.07E-08,4.07E-08,4.07E-08,4.07E-08
