"Step","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MAX"
"190","0.1654","0.1654","0.1654","0.381","0.381","0.381","0.202","0.202","0.202"
"191","0.1684","0.1684","0.1684","0.3805","0.3805","0.3805","0.2015","0.2015","0.2015"
"192","0.1695","0.1695","0.1695","0.382","0.382","0.382","0.1995","0.1995","0.1995"
"193","0.17135","0.17135","0.17135","0.384","0.384","0.384","0.205","0.205","0.205"
"194","0.17335","0.17335","0.17335","0.3835","0.3835","0.3835","0.2115","0.2115","0.2115"
"195","0.174","0.174","0.174","0.385","0.385","0.385","0.216","0.216","0.216"
"196","0.175","0.175","0.175","0.3875","0.3875","0.3875","0.2155","0.2155","0.2155"
"197","0.175","0.175","0.175","0.39","0.39","0.39","0.221","0.221","0.221"
"198","0.1786","0.1786","0.1786","0.3885","0.3885","0.3885","0.218","0.218","0.218"
"199","0.1769","0.1769","0.1769","0.404","0.404","0.404","0.2185","0.2185","0.2185"
"200","0.0278","0.0278","0.0278","0.193","0.193","0.193","0","0","0"
"201","0.05515","0.05515","0.05515","0.26","0.26","0.26","0","0","0"
"202","0.08195","0.08195","0.08195","0.312","0.312","0.312","0","0","0"
"203","0.1074","0.1074","0.1074","0.323","0.323","0.323","0.013","0.013","0.013"
"204","0.1241","0.1241","0.1241","0.3455","0.3455","0.3455","0.0635","0.0635","0.0635"
"205","0.13335","0.13335","0.13335","0.3515","0.3515","0.3515","0.115","0.115","0.115"
