"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAS_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedAvg_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_final - Global/Averaged Test Accuracy__MAX"
"631","","","","0.6755","0.6755","0.6755","","","","","",""
"633","","","","0.685","0.685","0.685","","","","","",""
"634","","","","","","","","","","0.207","0.207","0.207"
"640","0.2225","0.2225","0.2225","","","","0.2135","0.2135","0.2135","","",""
"642","0.226","0.226","0.226","","","","0.2145","0.2145","0.2145","","",""
"643","","","","0.695","0.695","0.695","","","","","",""
"644","0.2435","0.2435","0.2435","","","","0.2325","0.2325","0.2325","","",""
"647","","","","0.7665","0.7665","0.7665","","","","","",""
"651","","","","0.5135","0.5135","0.5135","","","","0.0155","0.0155","0.0155"
"652","0.017","0.017","0.017","","","","0.0165","0.0165","0.0165","","",""
"654","0.096","0.096","0.096","","","","0.096","0.096","0.096","","",""
"655","","","","0.5965","0.5965","0.5965","","","","0.1135","0.1135","0.1135"
"656","","","","0.6715","0.6715","0.6715","","","","","",""
"657","","","","","","","","","","0.1645","0.1645","0.1645"
"658","0.1755","0.1755","0.1755","","","","0.184","0.184","0.184","","",""
"661","","","","0.715","0.715","0.715","","","","0.2175","0.2175","0.2175"
"664","","","","0.6965","0.6965","0.6965","","","","","",""
"665","","","","0.665","0.665","0.665","","","","","",""
"671","","","","","","","","","","0.2405","0.2405","0.2405"
"674","","","","","","","","","","0.249","0.249","0.249"
"675","","","","0","0","0","","","","","",""
"676","","","","0.602","0.602","0.602","","","","","",""
"678","","","","","","","","","","0.107","0.107","0.107"
"679","0.142","0.142","0.142","","","","0.1545","0.1545","0.1545","","",""
"680","0.17","0.17","0.17","","","","0.174","0.174","0.174","","",""
"687","","","","","","","","","","0.247","0.247","0.247"
"688","","","","0.71","0.71","0.71","","","","0.253","0.253","0.253"
"693","","","","0.735","0.735","0.735","","","","0.258","0.258","0.258"
"699","0.2645","0.2645","0.2645","","","","0.2515","0.2515","0.2515","","",""
"700","","","","","","","","","","0.0185","0.0185","0.0185"
"703","","","","","","","","","","0.0615","0.0615","0.0615"
"706","","","","","","","","","","0.1475","0.1475","0.1475"
