"Step","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Grads Angle__MAX","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_VitL2P_FedL2P_sgd_lr0.005 - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes - Global/Averaged Grads Angle__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005 - Global/Averaged Grads Angle__MAX"
"68","0.010057929456233978","0.010057929456233978","0.010057929456233978","0.016900305710732935","0.016900305710732935","0.016900305710732935","0.06678388767875731","0.06678388767875731","0.06678388767875731","0.012672628387808799","0.012672628387808799","0.012672628387808799"
"69","0.009887346178293227","0.009887346178293227","0.009887346178293227","0.016706082373857498","0.016706082373857498","0.016706082373857498","0.06656595367843693","0.06656595367843693","0.06656595367843693","0.012250105515122414","0.012250105515122414","0.012250105515122414"
"70","0.009021817445755006","0.009021817445755006","0.009021817445755006","0.01712540226057172","0.01712540226057172","0.01712540226057172","0.06624820322263986","0.06624820322263986","0.06624820322263986","0.011657458432018757","0.011657458432018757","0.011657458432018757"
"71","0.009097792655229569","0.009097792655229569","0.009097792655229569","0.015740653276443483","0.015740653276443483","0.015740653276443483","0.06596396132663358","0.06596396132663358","0.06596396132663358","0.01053525272756815","0.01053525272756815","0.01053525272756815"
"72","0.00860725000500679","0.00860725000500679","0.00860725000500679","0.016620138362050056","0.016620138362050056","0.016620138362050056","0.06564054818358273","0.06564054818358273","0.06564054818358273","0.010532345473766327","0.010532345473766327","0.010532345473766327"
"73","0.008410611599683761","0.008410611599683761","0.008410611599683761","0.014670526050031185","0.014670526050031185","0.014670526050031185","0.0655311627977062","0.0655311627977062","0.0655311627977062","0.01079538382589817","0.01079538382589817","0.01079538382589817"
"74","0.007433700561523438","0.007433700561523438","0.007433700561523438","0.015722611658275126","0.015722611658275126","0.015722611658275126","0.0657225405354984","0.0657225405354984","0.0657225405354984","0.00937765371054411","0.00937765371054411","0.00937765371054411"
"75","0.0077488356828689575","0.0077488356828689575","0.0077488356828689575","0.015106179863214492","0.015106179863214492","0.015106179863214492","0.0653213456174126","0.0653213456174126","0.0653213456174126","0.009637514725327492","0.009637514725327492","0.009637514725327492"
"76","0.16724321573972703","0.16724321573972703","0.16724321573972703","0.1406430092221126","0.1406430092221126","0.1406430092221126","0.13688295532017947","0.13688295532017947","0.13688295532017947","0.18577388003468515","0.18577388003468515","0.18577388003468515"
"77","0.14064860659185796","0.14064860659185796","0.14064860659185796","0.1083157745981589","0.1083157745981589","0.1083157745981589","0.10784646659376448","0.10784646659376448","0.10784646659376448","0.10890765982680023","0.10890765982680023","0.10890765982680023"
