"Step","CIFAR100_CNN_FedAvg_sgd_lr0.005 - Global/Averaged Grads Angle","CIFAR100_CNN_FedAvg_sgd_lr0.005 - Global/Averaged Grads Angle__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005 - Global/Averaged Grads Angle__MAX","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005[g] - Global/Averaged Grads Angle","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005[g] - Global/Averaged Grads Angle__MIN","IMAGENET1k_VitL2P_FedL2P_sgd_lr0.005[g] - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05[g] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05[g] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedSTGM_sgd_lr0.05[g] - Global/Averaged Grads Angle__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_grad-enable[g] - Global/Averaged Grads Angle","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_grad-enable[g] - Global/Averaged Grads Angle__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_grad-enable[g] - Global/Averaged Grads Angle__MAX"
"87","0.017374512013047932","0.017374512013047932","0.017374512013047932","0.025336648672819137","0.025336648672819137","0.025336648672819137","0.034282169789075854","0.034282169789075854","0.034282169789075854","0.016059148907661438","0.016059148907661438","0.016059148907661438"
"88","0.015238965703174472","0.015238965703174472","0.015238965703174472","0.02313418097794056","0.02313418097794056","0.02313418097794056","0.032555363848805426","0.032555363848805426","0.032555363848805426","0.014775205329060554","0.014775205329060554","0.014775205329060554"
"89","0.014478710200637578","0.014478710200637578","0.014478710200637578","0.02197368420660496","0.02197368420660496","0.02197368420660496","0.02970632992684841","0.02970632992684841","0.02970632992684841","0.014194139465689658","0.014194139465689658","0.014194139465689658"
"90","0.014075019136071206","0.014075019136071206","0.014075019136071206","0.020500939637422562","0.020500939637422562","0.020500939637422562","0.027481050714850425","0.027481050714850425","0.027481050714850425","0.012666512727737427","0.012666512727737427","0.012666512727737427"
"91","0.013535920744761825","0.013535920744761825","0.013535920744761825","0.018984630405902862","0.018984630405902862","0.018984630405902862","0.02569425359368324","0.02569425359368324","0.02569425359368324","0.011894412711262703","0.011894412711262703","0.011894412711262703"
"92","0.012930145375430585","0.012930145375430585","0.012930145375430585","0.01905949752777815","0.01905949752777815","0.01905949752777815","0.0250425460934639","0.0250425460934639","0.0250425460934639","0.011373397186398506","0.011373397186398506","0.011373397186398506"
"93","0.011820455230772495","0.011820455230772495","0.011820455230772495","0.017249927073717117","0.017249927073717117","0.017249927073717117","0.023437426462769508","0.023437426462769508","0.023437426462769508","0.011061609610915185","0.011061609610915185","0.011061609610915185"
"94","0.012128059193491936","0.012128059193491936","0.012128059193491936","0.016565741077065467","0.016565741077065467","0.016565741077065467","0.022786504700779916","0.022786504700779916","0.022786504700779916","0.010257649645209312","0.010257649645209312","0.010257649645209312"
"95","0.010351061997935175","0.010351061997935175","0.010351061997935175","0.015379835553467273","0.015379835553467273","0.015379835553467273","0.022869801819324492","0.022869801819324492","0.022869801819324492","0.010222074165940285","0.010222074165940285","0.010222074165940285"
"96","0.010819470323622227","0.010819470323622227","0.010819470323622227","0.01590633936226368","0.01590633936226368","0.01590633936226368","0.02105121612548828","0.02105121612548828","0.02105121612548828","0.009357982501387595","0.009357982501387595","0.009357982501387595"
"97","0.009544268213212491","0.009544268213212491","0.009544268213212491","0.015319136194884777","0.015319136194884777","0.015319136194884777","0.020680172294378282","0.020680172294378282","0.020680172294378282","0.009179034829139709","0.009179034829139709","0.009179034829139709"
"98","0.010202380372211337","0.010202380372211337","0.010202380372211337","0.0145411466807127","0.0145411466807127","0.0145411466807127","0.020133303105831148","0.020133303105831148","0.020133303105831148","0.008802519589662551","0.008802519589662551","0.008802519589662551"
