"Step","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MIN","IMAGENET1k_ResNet50-pretrained_FedAvg_sgd_lr0.005 - Global/Averaged Test Accuracy__MAX"
"1998","0.963","0.963","0.963"
"1999","0.972","0.972","0.972"
"2001","0.298","0.298","0.298"
"2006","0.486","0.486","0.486"
"2008","0.486","0.486","0.486"
"2013","0.494","0.494","0.494"
"2016","0.51","0.51","0.51"
"2019","0.503","0.503","0.503"
"2021","0.518","0.518","0.518"
"2024","0.577","0.577","0.577"
"2028","0.594","0.594","0.594"
"2032","0.624","0.624","0.624"
"2041","0.606","0.606","0.606"
"2048","0.779","0.779","0.779"
"2050","0.837","0.837","0.837"
"2053","0.874","0.874","0.874"
"2054","0.869","0.869","0.869"
"2057","0.724","0.724","0.724"
"2059","0.9","0.9","0.9"
"2064","0.927","0.927","0.927"
"2065","0.883","0.883","0.883"
"2066","0.895","0.895","0.895"
"2069","0.699","0.699","0.699"
"2071","0.849","0.849","0.849"
"2073","0.918","0.918","0.918"
"2074","0.885","0.885","0.885"
"2075","0.944","0.944","0.944"
"2076","0.949","0.949","0.949"
"2077","0.934","0.934","0.934"
"2084","0.914","0.914","0.914"
"2087","0.954","0.954","0.954"
"2088","0.963","0.963","0.963"
"2089","0.957","0.957","0.957"
"2091","0.909","0.909","0.909"
"2092","0.933","0.933","0.933"
"2094","0.786","0.786","0.786"
"2095","0.753","0.753","0.753"
"2096","0.792","0.792","0.792"
"2097","0.891","0.891","0.891"
"2098","0.884","0.884","0.884"
"2100","0.864","0.864","0.864"
"2106","0.965","0.965","0.965"
"2108","0.968","0.968","0.968"
"2113","0.968","0.968","0.968"
"2115","0.967","0.967","0.967"
"2119","0.69","0.69","0.69"
"2122","0.936","0.936","0.936"
"2124","0.946","0.946","0.946"
"2128","0.914","0.914","0.914"
"2134","0.969","0.969","0.969"
"2136","0.955","0.955","0.955"
"2138","0.968","0.968","0.968"
"2142","0.967","0.967","0.967"
"2145","0.968","0.968","0.968"
"2146","0.968","0.968","0.968"
"2147","0.97","0.97","0.97"
"2153","0.97","0.97","0.97"
"2155","0.97","0.97","0.97"
"2156","0.97","0.97","0.97"
"2158","0.97","0.97","0.97"
"2159","0.97","0.97","0.97"
"2160","0.971","0.971","0.971"
"2164","0.968","0.968","0.968"
"2167","0.969","0.969","0.969"
"2172","0.971","0.971","0.971"
"2174","0.971","0.971","0.971"
"2175","0.973","0.973","0.973"
"2178","0.97","0.97","0.97"
"2181","0.971","0.971","0.971"
"2188","0.969","0.969","0.969"
"2193","0.936","0.936","0.936"
"2196","0.723","0.723","0.723"
"2198","0.898","0.898","0.898"
"2200","0.95","0.95","0.95"
"2201","0.968","0.968","0.968"
"2205","0.97","0.97","0.97"
"2208","0.97","0.97","0.97"
"2210","0.971","0.971","0.971"
"2211","0.97","0.97","0.97"
"2214","0.969","0.969","0.969"
"2218","0.881","0.881","0.881"
"2222","0.947","0.947","0.947"
"2224","0.962","0.962","0.962"
"2225","0.969","0.969","0.969"
"2227","0.973","0.973","0.973"
"2228","0.971","0.971","0.971"
"2230","0.972","0.972","0.972"
"2236","0.869","0.869","0.869"
"2240","0.956","0.956","0.956"
"2249","0.965","0.965","0.965"
"2254","0.968","0.968","0.968"
"2256","0.965","0.965","0.965"
"2258","0.969","0.969","0.969"
"2261","0.968","0.968","0.968"
"2263","0.971","0.971","0.971"
"2269","0.961","0.961","0.961"
"2270","0.919","0.919","0.919"
"2272","0.973","0.973","0.973"
"2275","0.971","0.971","0.971"
"2279","0.972","0.972","0.972"
"2282","0.971","0.971","0.971"
"2284","0.971","0.971","0.971"
"2288","0.761","0.761","0.761"
"2293","0.931","0.931","0.931"
"2294","0.953","0.953","0.953"
"2295","0.954","0.954","0.954"
"2297","0.957","0.957","0.957"
"2301","0.97","0.97","0.97"
"2303","0.972","0.972","0.972"
"2304","0.97","0.97","0.97"
"2307","0.972","0.972","0.972"
"2309","0.973","0.973","0.973"
"2310","0.972","0.972","0.972"
"2313","0.974","0.974","0.974"
