"Step","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX"
"197","0.2962","0.2962","0.2962","0.27775","0.27775","0.27775","0.2755","0.2755","0.2755"
"198","0.29625","0.29625","0.29625","0.2798","0.2798","0.2798","0.2765","0.2765","0.2765"
"199","0.29485","0.29485","0.29485","0.27885","0.27885","0.27885","0.2835","0.2835","0.2835"
"200","0.23445","0.23445","0.23445","0.2404","0.2404","0.2404","0.0495","0.0495","0.0495"
"201","0.3471","0.3471","0.3471","0.314","0.314","0.314","0.139","0.139","0.139"
"202","0.35825","0.35825","0.35825","0.32325","0.32325","0.32325","0.1735","0.1735","0.1735"
"203","0.36295","0.36295","0.36295","0.3311","0.3311","0.3311","0.2085","0.2085","0.2085"
"204","0.3642","0.3642","0.3642","0.3323","0.3323","0.3323","0.2125","0.2125","0.2125"
"205","0.36455","0.36455","0.36455","0.33435","0.33435","0.33435","0.218","0.218","0.218"
"206","0.36255","0.36255","0.36255","0.33255","0.33255","0.33255","0.243","0.243","0.243"
"207","0.364","0.364","0.364","0.33505","0.33505","0.33505","0.2275","0.2275","0.2275"
"208","0.36335","0.36335","0.36335","0.33325","0.33325","0.33325","0.234","0.234","0.234"
"209","0.3614","0.3614","0.3614","0.33395","0.33395","0.33395","0.242","0.242","0.242"
"210","0.3606","0.3606","0.3606","0.3338","0.3338","0.3338","0.2285","0.2285","0.2285"
"211","0.3575","0.3575","0.3575","0.33445","0.33445","0.33445","0.263","0.263","0.263"
"212","0.3581","0.3581","0.3581","0.3345","0.3345","0.3345","0.2625","0.2625","0.2625"
"213","0.3584","0.3584","0.3584","0.33705","0.33705","0.33705","0.2605","0.2605","0.2605"
"214","0.35685","0.35685","0.35685","0.33855","0.33855","0.33855","0.2465","0.2465","0.2465"
"215","0.3555","0.3555","0.3555","0.3378","0.3378","0.3378","0.264","0.264","0.264"
"216","0.35715","0.35715","0.35715","0.33545","0.33545","0.33545","0.265","0.265","0.265"
"217","0.35775","0.35775","0.35775","0.33645","0.33645","0.33645","0.2495","0.2495","0.2495"
"218","0.3577","0.3577","0.3577","0.3355","0.3355","0.3355","0.2615","0.2615","0.2615"
"219","0.35805","0.35805","0.35805","0.33435","0.33435","0.33435","0.2685","0.2685","0.2685"
"220","0.3567","0.3567","0.3567","0.3366","0.3366","0.3366","0.2715","0.2715","0.2715"
"221","0.3553","0.3553","0.3553","0.33595","0.33595","0.33595","0.268","0.268","0.268"
"222","0.35575","0.35575","0.35575","0.3365","0.3365","0.3365","0.2675","0.2675","0.2675"
"223","0.356","0.356","0.356","0.3372","0.3372","0.3372","0.2685","0.2685","0.2685"
"224","0.35595","0.35595","0.35595","0.33785","0.33785","0.33785","0.2775","0.2775","0.2775"
"225","0.23035","0.23035","0.23035","0.23675","0.23675","0.23675","0.0045","0.0045","0.0045"
"226","0.3178","0.3178","0.3178","0.29055","0.29055","0.29055","0.1255","0.1255","0.1255"
"227","0.32965","0.32965","0.32965","0.3023","0.3023","0.3023","0.1955","0.1955","0.1955"
"228","0.3295","0.3295","0.3295","0.3066","0.3066","0.3066","0.2175","0.2175","0.2175"
"229","0.33275","0.33275","0.33275","0.30825","0.30825","0.30825","0.233","0.233","0.233"
"230","0.3318","0.3318","0.3318","0.31165","0.31165","0.31165","0.2455","0.2455","0.2455"
"231","0.3303","0.3303","0.3303","0.31215","0.31215","0.31215","0.2525","0.2525","0.2525"
"232","0.3307","0.3307","0.3307","0.31285","0.31285","0.31285","0.2615","0.2615","0.2615"
"233","0.3301","0.3301","0.3301","0.31215","0.31215","0.31215","0.2655","0.2655","0.2655"
"234","0.32835","0.32835","0.32835","0.31335","0.31335","0.31335","0.262","0.262","0.262"
"235","0.32945","0.32945","0.32945","0.3158","0.3158","0.3158","0.2645","0.2645","0.2645"
"236","0.32815","0.32815","0.32815","0.315","0.315","0.315","0.27","0.27","0.27"
"237","0.3278","0.3278","0.3278","0.3164","0.3164","0.3164","0.272","0.272","0.272"
